Act Time,Dist,FO,Speed
,,,
3.5,37,5.25,10.57142857
24,269,47.46,11.20833333
24,266,45.42,11.08333333
24,265,43.64,11.04166667
24,268,45.34,11.16666667
24,281,43.4,11.70833333
3.2,36,5.88,11.25
22.3,261,40.5,11.70403587
24,279,43.2,11.625
24,282,43.16,11.75
24,284,43.04,11.83333333
21,250,38.52,11.9047619
14.7,178,25.35,12.10884354
24,305,44.8,12.70833333
14,164,25.19,11.71428571
12.5,163,33.69,13.04
24,299,62.34,12.45833333
24,311,62.55,12.95833333
24,320,64.12,13.33333333
12.2,159,30.8,13.03278689
0.1,1.3,0.14,13
3.5,46,9.85,13.14285714
24,315,64.68,13.125
24,316,64.34,13.16666667
24,312,65.32,13
19,248,51.69,13.05263158
1.7,22,4.71,12.94117647
24,332,63.9,13.83333333
24,334,63.82,13.91666667
24,335,64.32,13.95833333
5.7,79,15.45,13.85964912
13.3,148,26.25,11.12781955
24,276,45.44,11.5
24,270,44.8,11.25
24,275,44.18,11.45833333
24,278,43.94,11.58333333
24,273,44.46,11.375
24,277,44.06,11.54166667
24,272,44.24,11.33333333
24,290,44.22,12.08333333
24,287,44.04,11.95833333
7,74,16.46,10.57142857
20,20.5,37.16,1.025
24,289,43.72,12.04166667
19.7,197,36.19,10
17,221,43.49,13
23,301,61.71,13.08695652
23.5,310,63.76,13.19148936
24,317,63.66,13.20833333
8,104,20.88,13
