Feature,Importance
price_lag_1,0.27905025137669154
price_roll_mean_7,0.1992910386110791
price_roll_mean_14,0.13769022750817753
price_lag_3,0.11482282190495308
price_roll_mean_30,0.06076039758182326
Brent_USD_per_bbl,0.04273209433601403
price_lag_7,0.03896334059255127
brent_lag_1,0.03173896051112386
WTI_USD_per_bbl,0.023324085629168493
brent_lag_3,0.014742529357082536
wti_lag_1,0.010187447598438419
brent_lag_7,0.00959689959551731
wti_lag_3,0.006014566783059666
month,0.003585130245999572
price_return_1d,0.003095678493212118
price_lag_14,0.002979715557498301
price_lag_30,0.002561468215693008
price_return_7d,0.0023682992732624434
wti_lag_7,0.0023649058077135007
brent_return_7d,0.0020979981583880898
wti_return_7d,0.0019221802729666635
quarter,0.0017062936381665099
price_roll_std_14,0.0014699538234336164
wti_return_1d,0.0014486250627513378
brent_return_1d,0.0014293521347347516
price_roll_std_30,0.0013342059393400712
price_roll_std_7,0.0012995203229261433
brent_wti_spread,0.0009148531166185694
dayofweek,0.0005071585516151348
